bs,seql,t(ms)
2,16,22.431
2,32,22.439
2,48,22.511
2,64,22.578
2,80,22.604
2,96,22.618
2,112,22.66
2,128,22.747
2,144,22.718
2,160,22.713
2,176,22.761
2,192,22.834
2,208,22.834
2,224,22.829
2,240,22.892
2,256,22.903
2,272,22.926
2,288,22.92
2,304,23.037
2,320,22.996
2,336,23.035
2,352,23.064
2,368,23.057
2,384,23.117
4,16,22.491
4,32,22.596
4,48,22.674
4,64,22.722
4,80,22.75
4,96,22.746
4,112,22.809
4,128,22.878
4,144,22.899
4,160,22.916
4,176,22.993
4,192,23.012
4,208,23.06
4,224,23.092
4,240,23.131
4,256,23.203
4,272,23.207
4,288,23.232
4,304,23.307
4,320,23.348
4,336,23.395
4,352,23.44
4,368,23.467
4,384,23.503
6,16,22.826
6,32,22.902
6,48,22.938
6,64,23.011
6,80,23.041
6,96,23.113
6,112,23.154
6,128,23.243
6,144,23.304
6,160,23.323
6,176,23.392
6,192,23.511
6,208,23.541
6,224,23.604
6,240,23.661
6,256,23.717
6,272,23.788
6,288,23.803
6,304,23.793
6,320,23.915
6,336,23.947
6,352,24.021
6,368,24.044
6,384,24.131
8,16,22.955
8,32,23.072
8,48,23.112
8,64,23.226
8,80,23.263
8,96,23.341
8,112,23.386
8,128,23.504
8,144,23.601
8,160,23.677
8,176,23.76
8,192,23.885
8,208,23.881
8,224,23.968
8,240,24.054
8,256,24.11
8,272,24.165
8,288,24.205
8,304,24.294
8,320,24.374
8,336,24.451
8,352,24.526
8,368,24.626
8,384,24.675
10,16,23.158
10,32,23.204
10,48,23.292
10,64,23.377
10,80,23.456
10,96,23.576
10,112,23.683
10,128,23.845
10,144,23.915
10,160,23.975
10,176,24.052
10,192,24.152
10,208,24.213
10,224,24.325
10,240,24.406
10,256,24.526
10,272,24.616
10,288,24.658
10,304,24.777
10,320,24.855
10,336,24.931
10,352,25.015
10,368,25.101
10,384,25.187
12,16,23.721
12,32,23.802
12,48,23.903
12,64,24.074
12,80,24.201
12,96,24.299
12,112,24.461
12,128,24.63
12,144,24.699
12,160,24.753
12,176,24.845
12,192,25.065
12,208,25.153
12,224,25.241
12,240,25.374
12,256,25.551
12,272,25.676
12,288,25.73
12,304,25.835
12,320,25.962
12,336,26.063
12,352,26.139
12,368,26.279
12,384,26.426
14,16,23.892
14,32,23.913
14,48,24.043
14,64,24.254
14,80,24.342
14,96,24.484
14,112,24.612
14,128,24.837
14,144,24.889
14,160,25.01
14,176,25.1
14,192,25.307
14,208,25.43
14,224,25.541
14,240,25.623
14,256,25.774
14,272,25.941
14,288,26.01
14,304,26.119
14,320,26.252
14,336,26.402
14,352,26.509
14,368,26.618
14,384,26.768
16,16,23.969
16,32,24.061
16,48,24.172
16,64,24.439
16,80,24.568
16,96,24.711
16,112,24.87
16,128,25.034
16,144,25.133
16,160,25.225
16,176,25.374
16,192,25.545
16,208,25.695
16,224,25.851
16,240,25.963
16,256,26.126
16,272,26.239
16,288,26.377
16,304,26.537
16,320,26.69
16,336,26.784
16,352,26.924
16,368,27.081
16,384,27.249
